Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R²,Test R²,Test MAPE
XGBOOST,3832.141845703125,3951.401123046875,5865.67199901256,6282.453660792095,0.9270659685134888,0.9105190634727478,18.14068704843521
LIGHTGBM,3902.9431461478925,3919.3178367312057,6062.558725303577,6216.452819198975,0.9220875883548603,0.9123892910594588,18.002681578208634
